Site,Date,Net,Species,TL
BLH,2022-05-05,LTshallow,TUI,13
BLH,2022-05-05,LTshallow,TUI,12
BLH,2022-05-05,LTshallow,TUI,15
BLH,2022-05-05,LTshallow,TUI,11
BLH,2022-05-05,LTshallow,TUI,10
BLH,2022-05-05,LTshallow,TUI,10
BLH,2022-05-05,LTshallow,TUI,10
NTS,2022-05-18,LTdeep,TUI,13
DAG,2022-05-21,LTdeep,TUI,15
BLH,2022-06-08,LT1,TUI,6
BLH,2022-06-08,LT1,TUI,7
BLH,2022-06-08,LT1,TUI,7
BLH,2022-06-08,LT1,TUI,6
BLH,2022-06-08,LT1,TUI,17
BLH,2022-06-08,LT1,TUI,17
BLH,2022-06-08,LT1,TUI,16
BLH,2022-06-08,LT1,TUI,15
BLH,2022-06-08,LT1,TUI,15
BLH,2022-06-08,LT1,TUI,14
BLH,2022-06-08,LT1,TUI,16
BLH,2022-06-08,LT1,TUI,10
BLH,2022-06-08,LT1,TUI,12
BLH,2022-06-08,LT1,TUI,13
BLH,2022-06-08,LT1,TUI,13
BLH,2022-06-08,LT1,TUI,10
BLH,2022-06-08,LT1,TUI,11
BLH,2022-06-08,LT1,TUI,12
BLH,2022-06-08,LT1,TUI,12
BLH,2022-06-08,LT1,TUI,10
BLH,2022-06-08,LT1,TUI,11
BLH,2022-06-08,LT1,TUI,11
BLH,2022-06-08,LT1,TUI,10
BLH,2022-06-08,LT1,TUI,10
BLH,2022-06-08,LT2,TUI,16
BLH,2022-06-08,LT2,TUI,18
BLH,2022-06-08,LT2,TUI,19
BLH,2022-06-08,LT2,TUI,12
BLH,2022-06-08,LT2,TUI,15
BLH,2022-06-08,LT2,TUI,16
BLH,2022-06-08,LT2,TUI,15
BLH,2022-06-08,LT2,TUI,14
BLH,2022-06-08,LT2,TUI,15
BLH,2022-06-08,LT2,TUI,14
BLH,2022-06-08,LT2,TUI,13
BLH,2022-06-08,LT2,TUI,12
BLH,2022-06-08,LT2,TUI,12
BLH,2022-06-08,LT2,TUI,12
BLH,2022-06-08,LT2,TUI,14
BLH,2022-06-08,LT2,TUI,14
BLH,2022-06-08,LT2,TUI,15
BLH,2022-06-08,LT2,TUI,15
BLH,2022-06-08,LT2,TUI,14
BLH,2022-06-08,LT2,TUI,12
NTS,2022-06-08,LTdeep,TUI,8
NTS,2022-06-08,LTdeep,TUI,8
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,5
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,5
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,9
PEP,2022-06-08,LTshallow,TUI,7
PEP,2022-06-08,LTshallow,TUI,7
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,7
PEP,2022-06-08,LTshallow,TUI,7
PEP,2022-06-08,LTshallow,TUI,7
PEP,2022-06-08,LTshallow,TUI,7
PEP,2022-06-08,LTshallow,TUI,7
PEP,2022-06-08,LTshallow,TUI,8
PEP,2022-06-08,LTshallow,TUI,7
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTshallow,TUI,6
PEP,2022-06-08,LTdeep,TUI,17
TAM,2022-06-08,LT1,TUI,17
TAM,2022-06-08,LT1,TUI,13
TAM,2022-06-08,LT1,TUI,13
TAM,2022-06-08,LTshallow,TUI,6
TAM,2022-06-08,LTshallow,TUI,6
TAM,2022-06-08,LTshallow,TUI,6
TAM,2022-06-08,LTshallow,TUI,6
TAM,2022-06-08,LTshallow,TUI,7
TAM,2022-06-08,LTshallow,TUI,8
